,Name,Latitude,Temperature,Humidity,Cloudiness,Windspeed
0,mount gambier,-37.83,64.4,42,40,11.41
1,ribeira grande,38.52,63.72,95,20,26.84
2,pangnirtung,66.15,-29.21,47,12,4.09
3,busselton,-33.64,67.95,99,0,17.11
4,rikitea,-23.12,80.46,96,76,15.55
5,imbituba,-28.24,77,83,75,3.36
6,bredasdorp,-34.53,68,82,92,6.93
7,chokurdakh,70.62,-29.35,48,0,3.2
8,kudahuvadhoo,2.67,82.44,100,88,15.1
9,isangel,-19.55,78.3,100,36,16.67
10,haines junction,60.75,-33.71,54,12,1.97
11,bethel,60.79,1.06,84,90,9.17
12,butaritari,3.07,85.45,99,24,12.03
13,punta arenas,-53.16,51.8,57,0,17.22
14,san cristobal,-0.39,55.4,87,75,5.82
15,vaini,15.34,55.4,76,0,2.24
16,cape town,-33.93,66.2,82,20,16.11
17,dikson,73.51,-10.76,100,36,10.92
18,mataura,-46.19,72.4,42,56,14.16
19,sao gabriel da cachoeira,-0.13,75.51,94,64,1.3
20,grand river south east,,,,,
21,kirya,,,,,
22,hofn,64.25,40.99,96,80,16.96
23,pevek,69.7,-14.68,67,0,4.99
24,shelburne,44.08,38.17,100,90,4.7
25,nikolskoye,59.7,24.8,100,90,4.47
26,de aar,-30.65,65.29,43,20,4.47
27,saleaula,,,,,
28,mar del plata,-46.43,59.13,40,76,12.3
29,iqaluit,63.75,-29.21,66,5,2.24
30,lebu,8.96,46.4,42,0,2.24
31,revelstoke,50.99,21.2,85,90,1.74
32,general roca,-39.03,66.2,32,92,13.87
33,puspokladany,47.32,26.6,100,80,11.41
34,qaanaaq,77.48,-14,82,8,9.84
35,sorvag,,,,,
36,reims,49.26,39.99,80,90,16.11
37,buin,-33.73,65.55,52,0,9.17
38,bluff,-23.58,78.07,88,76,12.93
39,nizhneyansk,,,,,
40,yellowknife,62.45,-16.61,75,75,5.82
41,povenets,62.85,22.54,89,92,2.68
42,tateyama,36.66,33.8,80,75,4.7
43,kaitangata,-46.28,67.05,66,80,2.35
44,bambous virieux,-20.34,78.8,78,40,11.41
45,atuona,-9.8,81,100,68,14.94
46,tasiilaq,65.61,32,95,92,33.33
47,bulgan,48.81,-16.16,41,0,4.09
48,kenai,60.55,11.01,83,90,9.17
49,kuche,,,,,
50,norman wells,65.28,-36.41,65,20,3.36
51,severnyy,,,,,
52,sarankhola,22.31,55.89,86,0,6.22
53,hobart,-42.88,64.4,56,0,20.8
54,ginir,7.14,47.16,55,0,2.86
55,bowling green,36.99,48.2,54,1,10.29
56,taolanaro,,,,,
57,san patricio,-26.98,79.02,93,44,5.88
58,samusu,,,,,
59,sao filipe,14.9,73.57,96,0,11.63
60,kapaa,22.08,77.5,66,1,8.05
61,souillac,45.6,38.98,93,0,5.82
62,capaci,38.17,53.6,81,40,23.04
63,hilo,19.71,78.98,58,40,6.93
64,upernavik,72.79,-2.75,100,68,9.57
65,nome,30.04,65.64,87,1,4.7
66,saint-louis,47.59,38.71,86,75,13.87
67,barrow,-38.31,72.22,47,36,4.59
68,bengkulu,,,,,
69,lasa,34.92,44.01,66,75,19.46
70,qingan,,,,,
71,puerto ayora,-0.74,80.6,65,20,16.11
72,abu dhabi,24.47,65.26,72,0,4.7
73,mys shmidta,,,,,
74,jamestown,-33.21,63.9,83,0,9.35
75,makakilo city,21.35,78.44,60,1,10.29
76,tuktoyaktuk,69.44,-32.81,73,40,3.36
77,guerrero negro,27.97,69.03,43,20,4.99
78,hithadhoo,-0.6,80.1,100,92,13.27
79,san ramon,12.92,67.59,77,0,2.19
80,albany,42.65,37.4,92,90,3.36
81,sarakhs,36.54,37.4,93,24,4.7
82,ahipara,-35.17,78.25,62,12,0.51
83,ballina,54.11,40.68,100,56,3.2
84,khatanga,71.98,-17.06,74,64,1.74
85,esperance,10.24,77,83,20,4.7
86,ushuaia,-54.81,48.2,57,40,16.11
87,illoqqortoormiut,,,,,
88,belushya guba,,,,,
89,morehead,38.18,49.23,56,1,17.22
90,saint anthony,43.97,18.43,73,1,3.36
91,acarau,,,,,
92,kodiak,39.95,40.35,27,1,14.99
93,galveston,40.58,38.62,72,20,16.11
94,salalah,17.01,77,57,75,10.29
95,abu samrah,35.3,40.77,92,76,17.9
96,nemuro,43.32,24.8,45,20,11.41
97,wattens,47.29,33.8,86,75,28.86
98,hermanus,-34.42,61.65,99,92,4.32
99,zarichne,51.81,10.89,84,20,13.27
100,mahebourg,-20.41,78.8,78,40,11.41
101,provideniya,64.42,3.2,71,40,29.08
102,laguna,27.52,66.2,63,90,4.7
103,mahadday weyne,,,,,
104,prokopyevsk,53.89,11.7,67,68,8.9
105,port-gentil,-0.72,77.8,100,64,3.24
106,lao cai,22.48,55.39,100,92,0.78
107,amderma,,,,,
108,marystown,47.17,18.18,100,0,15.1
109,fukue,35.03,40.8,56,20,26.4
110,vanavara,60.35,-0.19,73,0,6.6
111,jalu,29.03,37.12,81,0,2.57
112,ancud,-41.87,50,66,75,3.36
113,sola,62.78,23,92,90,2.24
114,aklavik,68.22,-29.42,65,20,5.1
115,port alfred,-33.59,70.29,98,100,5.88
